2026-09-17T00:33:09.538646	DEBUG	server/main.go:63	application time zone	{"zone": "Europe/Moscow"}
2026-09-17T00:33:35.808111	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "5c0f94b7-275d-4496-bb85-965f1d26c09a", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:35.808110"}
2026-09-17T00:33:35.857286	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "5c0f94b7-275d-4496-bb85-965f1d26c09a", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "49.175791ms"}
2026-09-17T00:33:42.400942	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "7c87b490-7a2e-4cc7-99a2-77f630b996f7", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:42.400941"}
2026-09-17T00:33:42.466849	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "7c87b490-7a2e-4cc7-99a2-77f630b996f7", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "65.907208ms"}
2026-09-17T00:33:42.492097	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "647c2f94-b4a4-4a58-96e3-3ef5d4b7730d", "url": "/api/v1/users/me", "http_method": "GET", "time": "2026-09-16T21:33:42.492096"}
2026-09-17T00:33:42.493460	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "647c2f94-b4a4-4a58-96e3-3ef5d4b7730d", "url": "/api/v1/users/me", "HTTP Response status code": 200, "latency": "1.363292ms"}
2026-09-17T00:33:42.499599	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "bd05f33a-c8bc-4f9c-af02-93cdd2427593", "url": "/api/v1/tasks", "http_method": "POST", "time": "2026-09-16T21:33:42.499599"}
2026-09-17T00:33:42.499654	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "bd05f33a-c8bc-4f9c-af02-93cdd2427593", "url": "/api/v1/tasks", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:42.499666	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "bd05f33a-c8bc-4f9c-af02-93cdd2427593", "url": "/api/v1/tasks", "HTTP Response status code": 500, "latency": "66.833µs"}
2026-09-17T00:33:42.505198	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "8482ce8c-e493-4942-af7e-b666741896c5", "url": "/api/v1/events", "http_method": "POST", "time": "2026-09-16T21:33:42.505197"}
2026-09-17T00:33:42.505267	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "8482ce8c-e493-4942-af7e-b666741896c5", "url": "/api/v1/events", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:42.505280	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "8482ce8c-e493-4942-af7e-b666741896c5", "url": "/api/v1/events", "HTTP Response status code": 500, "latency": "82.334µs"}
2026-09-17T00:33:42.510809	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "f55d286a-9d03-4173-ab89-da4cfeb170ff", "url": "/api/v1/reports/daily", "http_method": "GET", "time": "2026-09-16T21:33:42.510808"}
2026-09-17T00:33:42.510888	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "f55d286a-9d03-4173-ab89-da4cfeb170ff", "url": "/api/v1/reports/daily", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:42.510902	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "f55d286a-9d03-4173-ab89-da4cfeb170ff", "url": "/api/v1/reports/daily", "HTTP Response status code": 500, "latency": "93.209µs"}
2026-09-17T00:33:42.516313	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "5566f02e-96b0-4502-90c3-e29c7b3cbf32", "url": "/api/v1/reminders/settings", "http_method": "GET", "time": "2026-09-16T21:33:42.516312"}
2026-09-17T00:33:42.516622	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "5566f02e-96b0-4502-90c3-e29c7b3cbf32", "url": "/api/v1/reminders/settings", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:42.516639	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "5566f02e-96b0-4502-90c3-e29c7b3cbf32", "url": "/api/v1/reminders/settings", "HTTP Response status code": 500, "latency": "323.458µs"}
